link,start,end,video,utterance,arousal,valence,EmotionMaxVote
https://www.youtube.com/watch?v=CROcsl0lIec,15.4126838087585,19.6828646042587,5b44393ed,utterance_4.mp4,0.170091267403,-0.0236966881471,4
https://www.youtube.com/watch?v=CROcsl0lIec,21.2508216151065,36.7969485737244,5b44393ed,utterance_6.mp4,0.417668314388,0.292946929716,3
https://www.youtube.com/watch?v=CROcsl0lIec,37.1305564483728,45.3373101647248,5b44393ed,utterance_7.mp4,0.398645656332,0.325004309635,4
https://www.youtube.com/watch?v=CROcsl0lIec,45.3039493772599,68.9901084773001,5b44393ed,utterance_8.mp4,0.702572620318,0.0135435708553,0
https://www.youtube.com/watch?v=CROcsl0lIec,69.5906026516673,75.4287404580153,5b44393ed,utterance_9.mp4,0.343357301512,-0.333560765435,5
https://www.youtube.com/watch?v=CROcsl0lIec,75.6622659702692,89.3735496183206,5b44393ed,utterance_10.mp4,0.603970497823,-0.0853779007609,0
https://www.youtube.com/watch?v=CROcsl0lIec,95.7454600241061,98.9480956207312,5b44393ed,utterance_12.mp4,0.483601016833,0.347528659204,3
https://www.youtube.com/watch?v=CROcsl0lIec,99.4818682201687,109.223218159904,5b44393ed,utterance_13.mp4,0.436187637377,-0.0248203105739,4
https://www.youtube.com/watch?v=CROcsl0lIec,109.990516271595,110.591010445962,5b44393ed,utterance_14.mp4,0.344783246917,-0.119610683215,3
https://www.youtube.com/watch?v=CROcsl0lIec,110.924618320611,112.425853756529,5b44393ed,utterance_15.mp4,0.298794893676,-0.0868819929356,3
https://www.youtube.com/watch?v=CROcsl0lIec,112.792822418642,125.436560867818,5b44393ed,utterance_16.mp4,0.528364154705,0.135725164987,4
https://www.youtube.com/watch?v=CROcsl0lIec,125.870251104861,126.504106066693,5b44393ed,utterance_17.mp4,0.218493350879,-0.0224143563493,4
https://www.youtube.com/watch?v=CROcsl0lIec,127.037878666131,131.50822418642,5b44393ed,utterance_18.mp4,0.489614452894,-0.133296956032,1
https://www.youtube.com/watch?v=CROcsl0lIec,131.941914423463,135.945208919245,5b44393ed,utterance_19.mp4,0.429146435651,-0.295223906023,2
https://www.youtube.com/watch?v=CROcsl0lIec,136.145373644034,145.186147047007,5b44393ed,utterance_20.mp4,0.713060923864,0.101011519934,0
https://www.youtube.com/watch?v=CROcsl0lIec,145.48639413419,148.355421856167,5b44393ed,utterance_21.mp4,0.392016068969,0.206028424758,4
https://www.youtube.com/watch?v=CROcsl0lIec,148.989276817999,149.89001807955,5b44393ed,utterance_22.mp4,0.169643209147,-0.00160022291564,4
https://www.youtube.com/watch?v=Zrx1BfbOysg,0,0.666273932253314,8c56c5ac5,utterance_1.mp4,0.101285536061,-0.345701782852,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,1.1659793814433,2.83166421207658,8c56c5ac5,utterance_2.mp4,0.0962556351496,-0.420727768781,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,4.6639175257732,10.410530191458,8c56c5ac5,utterance_3.mp4,0.228971917322,-0.445180396573,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,10.4938144329897,13.5753313696613,8c56c5ac5,utterance_4.mp4,0.192381891118,-0.259251286696,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,13.9917525773196,17.4896907216495,8c56c5ac5,utterance_5.mp4,0.145036006893,-0.476546334832,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,18.0726804123711,22.9864506627393,8c56c5ac5,utterance_6.mp4,0.154583118367,-0.391777381074,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,23.319587628866,24.3189985272459,8c56c5ac5,utterance_7.mp4,0.151967076644,-0.246855895592,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,24.4855670103093,25.7348306332842,8c56c5ac5,utterance_8.mp4,0.0898174527755,-0.421217393561,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,26.2345360824742,26.9840942562592,8c56c5ac5,utterance_9.mp4,0.0690685865169,-0.340806132908,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,27.4005154639175,29.6491899852725,8c56c5ac5,utterance_10.mp4,0.124766413205,-0.34890805542,4
https://www.youtube.com/watch?v=Zrx1BfbOysg,29.7324742268041,34.8128129602356,8c56c5ac5,utterance_11.mp4,0.245231803394,-0.579282817077,1
https://www.youtube.com/watch?v=Zrx1BfbOysg,36.1453608247423,39.6432989690722,8c56c5ac5,utterance_12.mp4,0.191231575084,-0.682328613563,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,40.2262886597938,44.7236377025037,8c56c5ac5,utterance_13.mp4,0.22422883923,-0.500522839808,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,44.890206185567,45.8063328424153,8c56c5ac5,utterance_14.mp4,0.139232466799,-0.379475943489,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,46.0561855670103,54.0514727540501,8c56c5ac5,utterance_15.mp4,0.380411277891,-0.437938268842,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,54.2180412371134,54.9675994108984,8c56c5ac5,utterance_16.mp4,0.189841282594,-0.304030650186,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,55.3840206185567,56.1335787923417,8c56c5ac5,utterance_17.mp4,0.168455990292,-0.366381008264,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,56.55,60.5476435935199,8c56c5ac5,utterance_18.mp4,0.407237937286,-0.45323176396,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,61.2139175257732,63.2127393225331,8c56c5ac5,utterance_19.mp4,0.259271858125,-0.37958175403,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,62.9628865979381,65.4614138438881,8c56c5ac5,utterance_20.mp4,0.249470333277,-0.712417450416,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,65.8778350515464,69.5423416789396,8c56c5ac5,utterance_21.mp4,0.195270009833,-0.658494302417,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,69.9587628865979,70.7916053019146,8c56c5ac5,utterance_22.mp4,0.289740101998,-0.443513133297,1
https://www.youtube.com/watch?v=Zrx1BfbOysg,71.1247422680412,79.9528718703976,8c56c5ac5,utterance_23.mp4,0.59195435547,-0.505298746605,0
https://www.youtube.com/watch?v=Zrx1BfbOysg,85.6994845360825,87.6150220913108,8c56c5ac5,utterance_27.mp4,0.130645092496,-0.512250961683,5
https://www.youtube.com/watch?v=Zrx1BfbOysg,87.4484536082474,98.0255522827688,8c56c5ac5,utterance_28.mp4,0.194935250914,-0.499032193363,5
https://www.youtube.com/watch?v=Y50P3WlXVDk,0,3.12707182320442,76eecf968,utterance_1.mp4,0.123479561507,0.665830071665,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,3.79418047882136,12.2581215469613,76eecf968,utterance_2.mp4,0.176658985679,0.650764952994,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,12.5499815837937,19.1793738489871,76eecf968,utterance_3.mp4,0.0661572419192,0.682171496949,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,19.2627624309392,21.222394106814,76eecf968,utterance_4.mp4,0.089934732059,0.461225866227,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,21.5976427255985,26.4341804788214,76eecf968,utterance_5.mp4,0.0470916859373,0.617808544766,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,26.851123388582,32.6883241252302,76eecf968,utterance_6.mp4,0.266106586413,0.776974133486,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,32.6883241252302,35.4818416206261,76eecf968,utterance_7.mp4,0.0682966890624,0.517389320659,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,35.8987845303867,44.9881399631676,76eecf968,utterance_8.mp4,0.277739069585,0.492275101254,4
https://www.youtube.com/watch?v=Y50P3WlXVDk,45.5301657458564,50.4083977900553,76eecf968,utterance_9.mp4,0.31172484829,0.576011227945,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,50.4917863720074,62.4580478821363,76eecf968,utterance_10.mp4,0.380441644841,0.476878970293,3
https://www.youtube.com/watch?v=Y50P3WlXVDk,62.7499079189687,64.3342909760589,76eecf968,utterance_11.mp4,0.195168493726,0.288281365464,4
https://www.youtube.com/watch?v=dqMwSvDD1eo,0,18.298892251816,243cff084,utterance_1.mp4,0.574491925347,0.740098554447,3
https://www.youtube.com/watch?v=dqMwSvDD1eo,18.6655367231638,31.5980871670702,243cff084,utterance_2.mp4,0.349124234943,0.359915289542,3
https://www.youtube.com/watch?v=dqMwSvDD1eo,31.7314124293785,47.0304862792575,243cff084,utterance_3.mp4,0.866522789852,-0.374899989688,0
https://www.youtube.com/watch?v=dqMwSvDD1eo,47.5971186440678,48.4637328490718,243cff084,utterance_4.mp4,0.132900959651,-0.0548417935757,4
https://www.youtube.com/watch?v=dqMwSvDD1eo,49.4636723163842,52.7634725585149,243cff084,utterance_5.mp4,0.236562604978,-0.385399056828,0
https://www.youtube.com/watch?v=dqMwSvDD1eo,53.196779661017,56.5965738498789,243cff084,utterance_6.mp4,0.553566078173,0.00413237290485,1
https://www.youtube.com/watch?v=dqMwSvDD1eo,56.9298870056497,59.4630669895077,243cff084,utterance_7.mp4,0.39015102205,0.159099697417,0
