video,utterance,arousal
1f61459b0,utterance_1.mp4,0.54497738
1f61459b0,utterance_2.mp4,0.85009044
1f61459b0,utterance_3.mp4,0.79775961
1f61459b0,utterance_4.mp4,0.72385306
1f61459b0,utterance_5.mp4,0.85969692
1f61459b0,utterance_6.mp4,0.7390683
1f61459b0,utterance_7.mp4,0.78818078
1f61459b0,utterance_8.mp4,0.45697556
1f61459b0,utterance_9.mp4,0.78576207
1f61459b0,utterance_10.mp4,0.84473191
1f61459b0,utterance_11.mp4,0.60913912
1f61459b0,utterance_12.mp4,0.76851108
1f61459b0,utterance_13.mp4,0.78234894
1f61459b0,utterance_14.mp4,0.54079403
a1b44e5f3,utterance_10.mp4,0.42403324
a1b44e5f3,utterance_14.mp4,0.44136668
a1b44e5f3,utterance_16.mp4,0.42443462
a1b44e5f3,utterance_19.mp4,0.37899465
a1b44e5f3,utterance_21.mp4,0.60989094
a1b44e5f3,utterance_22.mp4,0.34108802
a1b44e5f3,utterance_23.mp4,0.32586609
a1b44e5f3,utterance_29.mp4,0.48157796
a1b44e5f3,utterance_30.mp4,0.48157796
a1b44e5f3,utterance_32.mp4,0.62291098
a1b44e5f3,utterance_33.mp4,0.66159068
a7c5bc08c,utterance_1.mp4,0.34206814
a7c5bc08c,utterance_2.mp4,0.36867483
a7c5bc08c,utterance_3.mp4,0.2755971
a7c5bc08c,utterance_4.mp4,0.10240839
a7c5bc08c,utterance_5.mp4,0.23534834
a7c5bc08c,utterance_6.mp4,0.43973797
a7c5bc08c,utterance_7.mp4,0.33702222
a7c5bc08c,utterance_9.mp4,0.59569993
d1dae148e,utterance_1.mp4 ,0.59569993
d1dae148e,utterance_2.mp4,0.36733893
d1dae148e,utterance_3.mp4,0.29162071
d1dae148e,utterance_4.mp4,0.39117387
d1dae148e,utterance_5.mp4,0.4347402
d1dae148e,utterance_6.mp4,0.18602557
d1dae148e,utterance_7.mp4,0.45809976
d1dae148e,utterance_8.mp4,0.42278199
d1dae148e,utterance_9.mp4,0.4467624
d1dae148e,utterance_10.mp4,0.29302475
ddf3a516c,utterance_1.mp4,0.31148411
ddf3a516c,utterance_2.mp4,0.23349755
ddf3a516c,utterance_3.mp4,0.68463104
ddf3a516c,utterance_4.mp4,0.58271317
ddf3a516c,utterance_5.mp4,0.35306053
ddf3a516c,utterance_6.mp4,0.56361258
ddf3a516c,utterance_7.mp4,0.83377045
ddf3a516c,utterance_8.mp4,0.56018375
ddf3a516c,utterance_9.mp4,0.17788533
ddf3a516c,utterance_10.mp4,0.0805605
ddf3a516c,utterance_11.mp4,0.38209809
ddf3a516c,utterance_12.mp4,0.33475536
ddf3a516c,utterance_13.mp4,0.24699487
ddf3a516c,utterance_14.mp4,0.34287774
ddf3a516c,utterance_15.mp4,0.58204609
ddf3a516c,utterance_16.mp4,0.62933075
ddf3a516c,utterance_17.mp4,0.39360592
e8a276493,utterance_4.mp4,0.35153373
e8a276493,utterance_5.mp4,0.74102464
e8a276493,utterance_6.mp4,0.72383588
e8a276493,utterance_7.mp4,0.78624237
e8a276493,utterance_8.mp4,0.78624237
e8a276493,utterance_9.mp4,0.48651593
e8a276493,utterance_10.mp4,0.71476718
e8a276493,utterance_11.mp4,0.71377666
e8a276493,utterance_12.mp4,0.88204001
e8a276493,utterance_13.mp4,0.48855798
e8a276493,utterance_14.mp4,0.56801485
e8a276493,utterance_15.mp4,0.7125629
e8a276493,utterance_17.mp4,0.8869798
e8a276493,utterance_18.mp4,0.8393706
e8a276493,utterance_19.mp4,0.54341701
e8a276493,utterance_20.mp4,0.4394934
e8a276493,utterance_21.mp4,0.61710367
e8a276493,utterance_22.mp4,0.7315069
e8a276493,utterance_23.mp4,0.73803057
e8a276493,utterance_24.mp4,0.54532498
e8a276493,utterance_25.mp4,0.72257895
e8a276493,utterance_27.mp4,0.65978647
e8a276493,utterance_28.mp4,0.58059463
e8a276493,utterance_29.mp4,0.5419242
e8a276493,utterance_30.mp4,0.64565381
e8a276493,utterance_31.mp4,0.71889216
e8a276493,utterance_32.mp4,0.48745921
e8a276493,utterance_33.mp4,0.3984834
e8a276493,utterance_34.mp4,0.48112711
e8a276493,utterance_35.mp4,0.66843834
e8a276493,utterance_36.mp4,0.77269193
e8a276493,utterance_37.mp4,0.82100823
e8a276493,utterance_38.mp4,0.45188738
e8a276493,utterance_39.mp4,0.48557533
e8a276493,utterance_40.mp4,0.84475485
e8a276493,utterance_41.mp4,0.46837226
e8a276493,utterance_42.mp4,0.6592324
e8a276493,utterance_43.mp4,0.86618853
e8a276493,utterance_44.mp4,0.56614519
e8a276493,utterance_45.mp4,0.55375809
e8a276493,utterance_46.mp4,0.52966411
e8a276493,utterance_47.mp4,0.31616299
e8a276493,utterance_48.mp4,0.42308535
e8a276493,utterance_49.mp4,0.59967551
e8a276493,utterance_50.mp4,0.58014097
e8a276493,utterance_51.mp4,0.36366106
e8a276493,utterance_52.mp4,0.39979588
e8a276493,utterance_53.mp4,0.38356213
e8a276493,utterance_54.mp4,0.4453575
e8a276493,utterance_55.mp4,0.39029756
e8a276493,utterance_56.mp4,0.49885062
