name,utterance,valence
1f61459b0,utterance_1.mp4,0.18117507795492807
1f61459b0,utterance_2.mp4,0.01825037971138954
1f61459b0,utterance_3.mp4,-0.17798181995749474
1f61459b0,utterance_4.mp4,-0.030875840224325657
1f61459b0,utterance_5.mp4,0.43082912266254425
1f61459b0,utterance_6.mp4,-0.26809486995140713
1f61459b0,utterance_7.mp4,-0.03532910719513893
1f61459b0,utterance_8.mp4,-0.19027420630057654
1f61459b0,utterance_9.mp4,0.17579343728721142
1f61459b0,utterance_10.mp4,-0.509542137112779
1f61459b0,utterance_11.mp4,0.01629694364964962
1f61459b0,utterance_12.mp4,-0.2090291033188502
1f61459b0,utterance_13.mp4,-0.4430017024278641
1f61459b0,utterance_14.mp4,-0.455409765864412
a1b44e5f3,utterance_10.mp4,-0.2595777769262592
a1b44e5f3,utterance_14.mp4,-0.3256566065053145
a1b44e5f3,utterance_16.mp4,-0.3726697713136673
a1b44e5f3,utterance_19.mp4,-0.1767850468556086
a1b44e5f3,utterance_21.mp4,-0.17213145385418707
a1b44e5f3,utterance_22.mp4,-0.1322316131942595
a1b44e5f3,utterance_23.mp4,-0.3016885655621688
a1b44e5f3,utterance_29.mp4,0.013404442463070154
a1b44e5f3,utterance_30.mp4,0.2151416918883721
a1b44e5f3,utterance_32.mp4,0.2151416918883721
a1b44e5f3,utterance_33.mp4,-0.2481105476617813
a7c5bc08c,utterance_1.mp4,0.1998081300407648
a7c5bc08c,utterance_2.mp4,0.21922963671386242
a7c5bc08c,utterance_3.mp4,0.23784314468502998
a7c5bc08c,utterance_4.mp4,0.14166013120363155
a7c5bc08c,utterance_5.mp4,0.18082082768281302
a7c5bc08c,utterance_6.mp4,0.2999371451636155
a7c5bc08c,utterance_7.mp4,0.286873534321785
a7c5bc08c,utterance_9.mp4,0.26350928097963333
d1dae148e,utterance_1.mp4,-0.21142142731696367
d1dae148e,utterance_2.mp4,-0.29421797518928844
d1dae148e,utterance_3.mp4,-0.4772916038831075
