video,utterance,arousal,valence
1f61459b0,utterance_1.mp4,0.56473852,0.55651826
1f61459b0,utterance_2.mp4,0.86492243,0.62869325
1f61459b0,utterance_3.mp4,0.72608498,0.53851941
1f61459b0,utterance_4.mp4,0.69330545,0.68326185
1f61459b0,utterance_5.mp4,0.91008131,0.69761401
1f61459b0,utterance_6.mp4,0.69535704,0.53790779
1f61459b0,utterance_7.mp4,0.73505584,0.51766831
1f61459b0,utterance_8.mp4,0.37452594,0.4057068
1f61459b0,utterance_9.mp4,0.79495645,0.74005412
1f61459b0,utterance_10.mp4,0.85075984,0.50999379
1f61459b0,utterance_11.mp4,0.69739077,0.57970439
1f61459b0,utterance_12.mp4,0.75932891,0.5040295
1f61459b0,utterance_13.mp4,0.70987835,0.58308851
1f61459b0,utterance_14.mp4,0.61401444,0.45230945
a1b44e5f3,utterance_10.mp4,0.5202294,0.50863621
a1b44e5f3,utterance_14.mp4,0.48206618,0.44183178
a1b44e5f3,utterance_16.mp4,0.56473955,0.38863356
a1b44e5f3,utterance_19.mp4,0.45769598,0.49159107
a1b44e5f3,utterance_21.mp4,0.66934123,0.35136445
a1b44e5f3,utterance_22.mp4,0.35787792,0.39251315
a1b44e5f3,utterance_23.mp4,0.42261565,0.35450768
a1b44e5f3,utterance_29.mp4,0.57579616,0.57308106
a1b44e5f3,utterance_30.mp4,0.57579616,0.57308106
a1b44e5f3,utterance_32.mp4,0.67232927,0.44362894
a1b44e5f3,utterance_33.mp4,0.60133356,0.42311052
a7c5bc08c,utterance_1.mp4,0.33902099,0.61372185
a7c5bc08c,utterance_2.mp4,0.32732368,0.74633007
a7c5bc08c,utterance_3.mp4,0.20453569,0.74057124
a7c5bc08c,utterance_4.mp4,0.09603919,0.63245227
a7c5bc08c,utterance_5.mp4,0.25296018,0.70947125
a7c5bc08c,utterance_6.mp4,0.42758763,0.58145635
a7c5bc08c,utterance_7.mp4,0.36357272,0.80012608
a7c5bc08c,utterance_9.mp4,0.58530815,0.46721304
d1dae148e,utterance_1.mp4 ,0.58530815,0.46721304
d1dae148e,utterance_2.mp4,0.48909598,0.55660575
d1dae148e,utterance_3.mp4,0.35867458,0.34623276
d1dae148e,utterance_4.mp4,0.39324499,0.42620362
d1dae148e,utterance_5.mp4,0.41325568,0.53391383
d1dae148e,utterance_6.mp4,0.26154301,0.40770867
d1dae148e,utterance_7.mp4,0.52348004,0.4910722
d1dae148e,utterance_8.mp4,0.48136422,0.39397226
d1dae148e,utterance_9.mp4,0.52629124,0.52614112
